INSERT INTO members VALUES
(1, 'admin', '1234', '관리자', '01012341234', 1, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(2, 'id2', '1234', '노기효', '01094818426', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(3, 'id3', '1234', '배안수', '01096029758', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(4, 'id4', '1234', '윤상기', '01091834099', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(5, 'id5', '1234', '남윤주', '01099745951', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(6, 'id6', '1234', '고은이', '01066752295', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(7, 'id7', '1234', '이창기', '01094867737', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(8, 'id8', '1234', '강주석', '01097175378', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(9, 'id9', '1234', '김상준', '01073282001', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(10, 'id10', '1234', '김강현', '01090696074', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(11, 'id11', '1234', '양구민', '01089906973', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(12, 'id12', '1234', '박철완', '01064517732', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(13, 'id13', '1234', '이조규', '01064725207', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(14, 'id14', '1234', '김안기', '01047835553', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(15, 'id15', '1234', '황전하', '01098549069', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(16, 'id16', '1234', '원정현', '01097953309', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(17, 'id17', '1234', '김성현', '01071564586', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(18, 'id18', '1234', '윤고영', '01046674402', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(19, 'id19', '1234', '손양진', '01093091586', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(20, 'id20', '1234', '서천범', '01029609537', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(21, 'id21', '1234', '최미은', '01095919293', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(22, 'id22', '1234', '현자석', '01045525203', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(23, 'id23', '1234', '고연진', '01039039565', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(24, 'id24', '1234', '임양진', '01047441735', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(25, 'id25', '1234', '김진형', '01029752059', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(26, 'id26', '1234', '강명한', '01017367547', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(27, 'id27', '1234', '김동진', '01032374556', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(28, 'id28', '1234', '박지영', '01032583779', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(29, 'id29', '1234', '이양성', '01022293628', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(30, 'id30', '1234', '박자형', '01035604903', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(31, 'id31', '1234', '김다우', '01029114044', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(32, 'id32', '1234', '임전철', '01030126920', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(33, 'id33', '1234', '최구선', '01023734840', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(34, 'id34', '1234', '정도솔', '01098643720', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(35, 'id35', '1234', '이영석', '01065956653', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(36, 'id36', '1234', '조경현', '01072265535', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(37, 'id37', '1234', '김만석', '01034670483', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(38, 'id38', '1234', '박만석', '01044184218', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(39, 'id39', '1234', '김현진', '01024095317', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(40, 'id40', '1234', '박솔희', '01075709030', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(41, 'id41', '1234', '권하미', '01024517990', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(42, 'id42', '1234', '이성민', '01036524847', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(43, 'id43', '1234', '장도운', '01035337719', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(44, 'id44', '1234', '고일남', '01096943617', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(45, 'id45', '1234', '황지우', '01091057558', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(46, 'id46', '1234', '정기근', '01025764748', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(47, 'id47', '1234', '양자승', '01080972732', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(48, 'id48', '1234', '윤성현', '01030685978', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(49, 'id49', '1234', '최기문', '01027595634', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01'),
(50, 'id50', '1234', '오시헌', '01020203572', 0, '2021-01-01 00:00:01', '2021-01-01 00:00:01');
